Date,Time,MC%,Drop
3/25/2019,21:45,9,4.92
3/25/2019,21:45,9.1,4.17
3/25/2019,23:45,8.6,4
3/25/2019,23:45,8.6,3.5
3/25/2019,23:45,8.7,4.17
3/26/2019,1:45,8.9,4.92
3/26/2019,3:45,9.4,4.25
3/26/2019,5:45,9.1,5.33
3/26/2019,5:45,9.1,5.92
3/26/2019,7:45,9.2,3.25
3/26/2019,7:45,9,4
3/26/2019,9:45,9.2,4.67
3/26/2019,15:45,8.9,4.67
3/26/2019,15:45,8.6,4.25
3/26/2019,17:45,8.9,6
3/26/2019,17:45,9.1,5.42
3/26/2019,17:45,8.9,5.25
3/26/2019,19:45,8.7,6.5
3/26/2019,19:45,9.2,6.58
3/26/2019,19:45,9,5.83
3/26/2019,23:45,9.1,4.58
3/27/2019,1:45,8.9,6
3/27/2019,1:45,8.7,6.5
3/27/2019,3:45,9.1,7.08
3/27/2019,3:45,9.8,7.25
3/27/2019,3:45,9,6.42
3/27/2019,5:45,9.1,6
3/27/2019,5:45,8.9,6.08
3/27/2019,9:45,9.6,3.33
3/27/2019,9:45,8.8,3.25
3/27/2019,13:40,8.7,3.33
3/27/2019,15:45,8.9,3
3/27/2019,15:45,8.8,3.17
3/27/2019,15:45,8.5,3.75
3/27/2019,17:45,8.6,3.25
3/27/2019,17:45,8.7,3.17
3/27/2019,19:45,8.8,4.58
3/27/2019,19:45,8.9,4.33
3/27/2019,19:45,8.7,3.5
3/27/2019,23:35,8.6,4.83
3/23/2019,5:45,9.3,6.5
3/23/2019,5:45,9.1,5.67
3/23/2019,5:45,9.1,4.58
3/23/2019,7:45,9.1,4.33
3/23/2019,9:45,8.8,4.25
3/23/2019,11:45,9.5,3.58
3/23/2019,17:45,8.9,5.92
3/23/2019,17:45,8.9,5.17
3/23/2019,19:45,8.8,3.58
3/23/2019,19:45,8.7,4
3/23/2019,21:45,9,5.17
3/23/2019,23:45,9.2,5.25
3/24/2019,1:45,9.2,5
3/24/2019,1:45,9.2,5.58
3/24/2019,1:45,9.2,5.25
3/24/2019,3:45,9.2,5.33
3/24/2019,3:45,9.3,5.17
3/24/2019,3:45,9.1,5
3/24/2019,5:45,8.9,4.67
3/24/2019,5:45,9.1,4.25
3/24/2019,7:45,9,5.17
3/24/2019,9:45,9.1,4.92
3/24/2019,9:45,9.1,4.67
3/24/2019,11:45,9,5.75
3/24/2019,15:45,8.6,5.17
3/24/2019,15:45,8.7,4.75
3/24/2019,15:45,8.8,4.67
3/24/2019,17:45,8.7,3.5
3/24/2019,19:45,8.9,5.83
3/24/2019,19:45,8.9,4.75
3/24/2019,19:45,8.7,5.75
3/24/2019,21:45,9,4.92
3/24/2019,23:45,8.8,4.92
3/25/2019,5:45,8.9,6
3/25/2019,5:45,8.7,6.17
3/25/2019,13:45,9.2,3.58
3/25/2019,17:45,8.5,3.17
3/25/2019,17:45,8.6,4.08
3/25/2019,21:45,8.9,4.17
3/25/2019,23:45,8.3,4.42
3/25/2019,23:45,8.7,4.67
3/26/2019,1:45,9,4.92
3/26/2019,1:45,8.9,4.08
3/26/2019,5:45,9,6.08
3/28/2019,19:45,8.9,3.08
3/28/2019,21:45,8.8,3.83
3/28/2019,21:45,8.8,3.75
3/28/2019,21:45,9.3,3.5
